Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,27,38.0,1.76,0.11,0.08,9.61,9.39,1.74,16.7,7.79,8.18,0.16,0.16,0.03,49.0,12.2,15.1,44.7
Aston Villa,31,38.0,2.13,0.05,0.03,10.6,13.3,1.37,17.6,8.92,10.1,0.05,0.16,0.05,48.7,14.2,14.8,49.0
Brentford,29,38.0,1.71,0.08,0.05,9.76,9.55,1.74,16.8,10.3,9.00,0.16,0.13,0.05,54.2,18.9,19.2,49.6
Brighton,26,38.0,1.89,0.05,0.00,10.3,9.34,1.39,19.2,9.42,10.6,0.11,0.11,0.00,56.7,15.0,13.1,53.3
Burnley,23,38.0,1.79,0.05,0.00,10.4,8.74,2.66,19.7,10.8,8.53,0.05,0.13,0.05,53.3,21.8,19.3,53.0
Chelsea,26,38.0,1.66,0.03,0.00,10.8,10.3,1.82,19.6,9.13,9.16,0.21,0.16,0.03,54.8,14.2,12.8,52.5
Crystal Palace,24,38.0,1.82,0.03,0.03,10.9,12.7,1.66,16.9,8.76,9.84,0.16,0.11,0.05,55.3,16.1,16.3,49.7
Everton,33,38.0,2.16,0.16,0.05,9.68,10.2,1.39,17.2,9.61,10.6,0.18,0.05,0.13,53.2,16.7,19.1,46.7
Leeds United,29,38.0,2.66,0.08,0.00,12.3,9.68,1.66,17.1,10.4,11.5,0.11,0.13,0.03,59.5,12.4,16.5,42.9
Leicester City,28,38.0,1.45,0.03,0.00,9.37,10.4,1.58,14.6,9.66,10.1,0.03,0.24,0.03,53.0,13.9,14.6,48.9
Liverpool,27,38.0,1.32,0.03,0.00,9.55,7.53,1.66,23.6,8.95,8.42,0.13,0.00,0.03,59.6,15.0,12.3,55.0
Manchester City,26,38.0,1.11,0.03,0.00,8.45,8.68,1.74,22.9,7.34,7.47,0.18,0.03,0.00,51.8,12.7,10.4,54.8
Manchester Utd,29,38.0,2.03,0.05,0.03,10.4,8.42,2.32,17.3,8.95,9.42,0.08,0.13,0.08,54.5,14.6,11.7,55.6
Newcastle Utd,29,38.0,2.13,0.05,0.03,10.3,9.63,1.87,15.6,9.47,10.1,0.03,0.16,0.05,48.3,17.8,16.3,52.2
Norwich City,28,38.0,1.50,0.03,0.03,9.37,11.3,1.45,14.9,10.0,9.68,0.05,0.32,0.05,49.7,13.0,15.7,45.2
Southampton,25,38.0,1.71,0.05,0.03,10.6,9.55,1.11,18.7,11.7,8.95,0.11,0.05,0.05,58.5,17.7,19.1,48.1
Tottenham,25,38.0,1.82,0.03,0.03,10.2,10.7,1.63,16.6,9.34,9.18,0.08,0.05,0.03,49.8,14.7,13.2,52.8
Watford,30,38.0,1.66,0.08,0.08,11.6,9.26,1.39,16.1,11.7,9.37,0.05,0.18,0.08,56.7,18.7,19.7,48.7
West Ham,25,38.0,1.37,0.08,0.05,8.50,7.26,1.55,21.1,9.84,7.92,0.08,0.16,0.05,51.8,16.8,16.5,50.4
Wolves,26,38.0,1.63,0.05,0.05,9.63,8.82,1.61,15.4,10.2,9.92,0.03,0.26,0.03,55.4,12.1,12.9,48.5
