Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,27,38.0,1.58,15.3,4.89,32.0,15.29,4.89,0.09,0.30,17.8,0.55,0.13,0.21,1.59,1.45,0.10,-0.01,-0.00
Aston Villa,31,38.0,1.32,12.1,4.18,34.5,12.13,4.18,0.10,0.30,17.6,0.53,0.08,0.08,1.16,1.11,0.09,0.16,0.13
Brentford,29,38.0,1.21,11.5,3.71,32.3,11.47,3.71,0.09,0.28,16.3,0.29,0.16,0.16,1.21,1.08,0.10,0.01,-0.03
Brighton,26,38.0,1.05,12.7,3.71,29.3,12.68,3.71,0.07,0.26,17.7,0.39,0.11,0.18,1.22,1.07,0.09,-0.16,-0.12
Burnley,23,38.0,0.84,10.7,3.13,29.4,10.66,3.13,0.08,0.26,17.2,0.37,0.03,0.05,1.04,1.00,0.10,-0.20,-0.19
Chelsea,26,38.0,1.97,15.3,5.26,34.3,15.34,5.26,0.11,0.34,17.4,0.68,0.21,0.24,1.67,1.49,0.10,0.31,0.27
Crystal Palace,24,38.0,1.32,10.6,3.68,34.7,10.63,3.68,0.11,0.31,16.1,0.34,0.16,0.21,1.22,1.06,0.10,0.09,0.10
Everton,33,38.0,1.11,11.3,3.42,30.2,11.32,3.42,0.08,0.28,17.7,0.47,0.16,0.18,1.08,0.94,0.08,0.02,0.01
Leeds United,29,38.0,1.11,12.6,3.74,29.6,12.63,3.74,0.08,0.26,18.3,0.34,0.13,0.13,1.17,1.06,0.09,-0.06,-0.09
Leicester City,28,38.0,1.63,11.4,4.32,37.9,11.39,4.32,0.14,0.37,17.8,0.37,0.05,0.05,1.26,1.22,0.11,0.37,0.36
Liverpool,27,38.0,2.47,19.0,6.24,32.9,18.97,6.24,0.12,0.37,16.7,0.34,0.18,0.21,2.33,2.18,0.12,0.14,0.11
Manchester City,26,38.0,2.53,18.5,6.24,33.7,18.53,6.24,0.13,0.38,16.3,0.45,0.18,0.24,2.33,2.14,0.12,0.19,0.20
Manchester Utd,29,38.0,1.47,13.2,4.71,35.6,13.24,4.71,0.11,0.30,17.7,0.50,0.08,0.13,1.47,1.37,0.11,0.01,0.03
Newcastle Utd,29,38.0,1.08,11.7,3.74,31.8,11.74,3.74,0.09,0.27,18.1,0.39,0.08,0.08,1.00,0.94,0.08,0.08,0.06
Norwich City,28,38.0,0.55,9.74,2.74,28.1,9.74,2.74,0.05,0.17,19.0,0.47,0.08,0.08,0.85,0.79,0.08,-0.30,-0.32
Southampton,25,38.0,1.08,12.6,4.24,33.7,12.58,4.24,0.08,0.23,17.7,0.63,0.11,0.11,1.18,1.09,0.09,-0.10,-0.16
Tottenham,25,38.0,1.66,12.8,4.87,38.1,12.79,4.87,0.12,0.31,16.7,0.42,0.13,0.13,1.61,1.51,0.12,0.05,0.02
Watford,30,38.0,0.87,10.4,3.24,31.0,10.45,3.24,0.08,0.26,18.1,0.63,0.03,0.05,1.05,1.01,0.10,-0.18,-0.17
West Ham,25,38.0,1.53,11.7,3.74,32.1,11.66,3.74,0.12,0.38,16.6,0.34,0.11,0.16,1.35,1.23,0.11,0.17,0.19
Wolves,26,38.0,0.92,10.6,3.50,33.2,10.55,3.50,0.08,0.26,18.6,0.34,0.03,0.03,0.99,0.97,0.09,-0.07,-0.07
