Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,0.76,0.05,0.03,0.16,0.03,0.63,0.26,-0.10,-0.10,4.13,5.13,35.6,27.8,4.97,35.9,31.1,9.87,1.26,12.8,1.55,1.55,17.9
Aston Villa,2,38.0,1.61,0.03,0.03,0.26,0.11,1.62,0.35,0.12,+0.12,3.58,6.47,35.8,36.5,4.63,31.7,29.5,11.0,1.34,12.2,1.84,1.84,8.4
Bournemouth,3,38.0,1.76,0.16,0.03,0.16,0.03,1.66,0.30,-0.07,-0.07,5.24,7.00,34.3,25.7,4.66,57.1,43.9,12.9,0.82,6.3,0.97,0.97,14.8
Brentford,2,38.0,1.71,0.05,0.00,0.16,0.00,1.50,0.30,-0.21,-0.21,6.68,8.37,37.5,35.0,3.58,57.5,44.9,15.9,1.21,7.6,1.00,1.00,12.6
Brighton,2,38.0,1.63,0.16,0.03,0.21,0.05,1.34,0.28,-0.23,-0.23,2.68,6.68,37.2,33.6,4.89,5.9,12.0,10.7,0.63,5.9,1.89,1.89,15.8
Burnley,2,38.0,2.05,0.16,0.00,0.29,0.08,1.99,0.29,0.02,+0.02,5.66,7.47,26.1,48.1,5.68,61.6,44.7,14.8,1.32,8.9,1.95,1.95,17.2
Chelsea,2,38.0,1.66,0.08,0.00,0.21,0.08,1.38,0.27,-0.20,-0.20,3.37,7.42,35.5,29.7,4.84,37.9,32.6,13.5,1.03,7.6,1.24,1.24,15.8
Crystal Palace,3,38.0,1.53,0.08,0.00,0.18,0.05,1.25,0.29,-0.22,-0.22,4.63,6.71,29.1,21.7,3.03,69.4,49.2,15.4,0.79,5.1,0.76,0.76,11.2
Everton,1,38.0,1.34,0.21,0.00,0.24,0.08,1.38,0.28,0.12,+0.12,9.47,7.21,40.0,34.1,3.71,60.6,48.2,15.0,0.79,5.3,1.42,1.42,15.9
Fulham,1,38.0,1.61,0.21,0.05,0.08,0.11,1.47,0.26,-0.03,-0.03,3.79,7.92,32.8,33.5,4.39,38.2,33.0,12.4,0.50,4.0,1.05,1.05,14.2
Liverpool,2,38.0,1.08,0.03,0.00,0.18,0.05,1.05,0.27,0.03,+0.03,2.42,6.00,32.3,35.5,5.05,24.6,27.5,9.89,0.47,4.8,1.21,1.21,17.7
Luton Town,2,38.0,2.24,0.11,0.00,0.34,0.11,2.04,0.34,-0.09,-0.09,7.21,9.18,33.7,29.5,3.97,64.8,46.8,14.8,0.42,2.9,2.03,2.03,19.0
Manchester City,2,38.0,0.89,0.08,0.00,0.08,0.03,0.95,0.31,0.08,+0.08,3.74,4.16,45.2,35.3,4.24,31.0,31.9,8.21,0.82,9.9,1.66,1.66,17.3
Manchester Utd,1,38.0,1.53,0.18,0.03,0.29,0.03,1.57,0.27,0.07,+0.07,3.92,8.66,29.0,31.2,3.68,28.6,26.0,15.8,1.11,7.0,0.97,0.97,12.9
Newcastle Utd,3,38.0,1.63,0.11,0.03,0.21,0.03,1.61,0.29,0.00,0.00,2.63,7.39,33.2,21.1,6.21,53.4,40.5,11.8,0.79,6.7,1.39,1.39,19.5
Nott'ham Forest,3,38.0,1.76,0.11,0.03,0.39,0.05,1.24,0.27,-0.47,-0.47,6.03,8.00,44.1,21.5,4.50,56.3,41.4,16.1,1.16,7.2,0.63,0.63,13.3
Sheffield Utd,2,38.0,2.74,0.13,0.00,0.32,0.18,2.24,0.31,-0.31,-0.31,7.11,9.26,33.0,26.0,3.32,77.0,53.9,17.4,1.03,5.9,1.47,1.47,14.4
Tottenham,1,38.0,1.61,0.18,0.03,0.21,0.08,1.58,0.32,0.05,+0.05,1.39,6.74,23.6,34.4,5.08,11.7,19.4,13.4,0.87,6.5,2.13,2.13,17.1
West Ham,2,38.0,1.95,0.21,0.00,0.16,0.11,1.89,0.26,0.05,+0.05,5.53,8.08,38.0,20.9,4.95,59.3,43.4,15.3,0.92,6.0,0.21,0.21,7.6
Wolves,2,38.0,1.71,0.21,0.03,0.18,0.03,1.89,0.32,0.20,+0.20,2.63,8.03,20.8,24.6,5.24,52.5,40.0,15.1,1.18,7.9,0.82,0.82,13.3
