Squad,#Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,25,38.0,2.26,17.0,5.50,32.3,17.03,5.50,0.12,0.36,15.8,0.16,0.26,0.26,2.00,1.80,0.11,0.26,0.20
Aston Villa,31,38.0,1.89,13.4,4.79,35.6,13.45,4.79,0.13,0.37,16.0,0.39,0.11,0.11,1.67,1.59,0.12,0.23,0.20
Bournemouth,30,38.0,1.37,14.2,4.61,32.5,14.18,4.61,0.09,0.29,16.7,0.47,0.05,0.08,1.47,1.41,0.10,-0.10,-0.09
Brentford,28,38.0,1.42,12.4,4.18,33.8,12.37,4.18,0.11,0.32,15.6,0.45,0.08,0.08,1.53,1.47,0.12,-0.11,-0.13
Brighton,30,38.0,1.32,14.6,5.21,35.7,14.61,5.21,0.08,0.23,16.7,0.29,0.13,0.16,1.49,1.37,0.10,-0.18,-0.19
Burnley,31,38.0,1.05,11.3,3.61,31.9,11.32,3.61,0.09,0.27,17.7,0.34,0.08,0.08,1.07,1.01,0.09,-0.02,-0.03
Chelsea,32,38.0,2.00,14.1,5.11,36.1,14.13,5.11,0.12,0.34,17.3,0.58,0.29,0.32,1.96,1.71,0.12,0.04,-0.00
Crystal Palace,26,38.0,1.47,11.9,4.26,35.8,11.89,4.26,0.12,0.32,17.2,0.53,0.11,0.11,1.28,1.19,0.10,0.19,0.17
Everton,26,38.0,1.05,13.3,4.00,30.2,13.26,4.00,0.08,0.25,16.7,0.37,0.05,0.08,1.42,1.36,0.11,-0.37,-0.36
Fulham,25,38.0,1.42,13.1,4.61,35.1,13.13,4.61,0.10,0.30,17.0,0.37,0.05,0.05,1.34,1.29,0.10,0.08,0.07
Liverpool,30,38.0,2.11,20.6,6.92,33.7,20.55,6.92,0.09,0.28,17.2,0.47,0.16,0.24,2.31,2.12,0.11,-0.21,-0.17
Luton Town,28,38.0,1.29,11.2,3.53,31.4,11.24,3.53,0.10,0.33,16.3,0.29,0.13,0.13,1.12,1.02,0.09,0.17,0.14
Manchester City,25,38.0,2.47,18.0,6.95,38.7,17.97,6.95,0.12,0.32,17.1,0.66,0.24,0.26,2.12,1.92,0.11,0.36,0.32
Manchester Utd,31,38.0,1.50,14.3,4.79,33.5,14.29,4.79,0.09,0.28,17.4,0.39,0.16,0.18,1.49,1.34,0.10,0.01,0.00
Newcastle Utd,32,38.0,2.18,14.3,5.16,36.2,14.26,5.16,0.14,0.38,15.7,0.24,0.21,0.24,2.00,1.82,0.13,0.18,0.16
Nott'ham Forest,33,38.0,1.29,11.8,3.76,31.8,11.84,3.76,0.11,0.34,17.2,0.18,0.03,0.03,1.31,1.29,0.11,-0.02,-0.03
Sheffield Utd,35,38.0,0.82,9.47,3.08,32.5,9.47,3.08,0.07,0.22,17.4,0.21,0.13,0.13,1.01,0.91,0.10,-0.19,-0.22
Tottenham,29,38.0,1.82,15.3,5.45,35.6,15.32,5.45,0.12,0.32,16.5,0.29,0.05,0.05,1.79,1.76,0.12,0.02,0.01
West Ham,26,38.0,1.53,11.7,3.84,32.8,11.71,3.84,0.12,0.37,16.2,0.45,0.11,0.13,1.38,1.27,0.11,0.15,0.15
Wolves,27,38.0,1.24,11.2,4.03,36.0,11.18,4.03,0.10,0.28,16.7,0.32,0.11,0.11,1.23,1.15,0.11,0.01,-0.02
