Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,npG-xG
Arsenal,24,31.0,1.74,13.9,4.61,33.2,13.90,4.61,0.12,0.36,14.9,0.26,0.06,0.06,1.56,1.52,0.11,0.18,0.16
Aston Villa,28,31.0,1.45,12.5,4.06,32.6,12.45,4.06,0.11,0.34,16.0,0.35,0.06,0.10,1.45,1.37,0.11,0.00,0.01
Bournemouth,28,31.0,1.61,15.9,5.45,34.3,15.87,5.45,0.09,0.26,16.7,0.26,0.19,0.23,1.84,1.66,0.11,-0.22,-0.24
Brentford,27,30.0,1.70,11.5,4.53,39.4,11.50,4.53,0.13,0.34,15.4,0.30,0.17,0.17,1.54,1.41,0.13,0.16,0.12
Brighton,31,31.0,1.52,13.6,4.65,34.2,13.58,4.65,0.10,0.31,17.2,0.68,0.10,0.10,1.47,1.39,0.10,0.05,0.03
Chelsea,29,30.0,1.77,15.6,5.40,34.5,15.63,5.40,0.11,0.31,16.5,0.50,0.10,0.13,1.90,1.79,0.12,-0.13,-0.13
Crystal Palace,29,30.0,1.23,13.7,4.67,34.1,13.67,4.67,0.09,0.25,17.1,0.53,0.07,0.07,1.52,1.46,0.11,-0.28,-0.30
Everton,26,31.0,0.97,10.7,3.52,32.9,10.68,3.52,0.08,0.26,17.1,0.32,0.06,0.06,1.08,1.03,0.10,-0.12,-0.13
Fulham,26,30.0,1.43,13.4,4.30,32.1,13.40,4.30,0.10,0.31,16.4,0.23,0.10,0.13,1.36,1.25,0.10,0.07,0.08
Ipswich Town,31,31.0,0.97,9.55,3.26,34.1,9.55,3.26,0.09,0.28,17.4,0.32,0.06,0.06,0.94,0.89,0.10,0.03,0.02
Leicester City,28,30.0,0.83,8.73,2.77,31.7,8.73,2.77,0.09,0.28,17.7,0.20,0.07,0.07,0.86,0.81,0.09,-0.03,-0.04
Liverpool,24,30.0,2.33,16.7,5.80,34.8,16.67,5.80,0.12,0.35,16.0,0.20,0.30,0.30,2.21,1.98,0.12,0.12,0.05
Manchester City,29,30.0,1.87,16.0,5.60,34.9,16.03,5.60,0.11,0.32,16.9,0.50,0.07,0.10,1.79,1.70,0.11,0.08,0.10
Manchester Utd,29,30.0,1.17,13.4,4.43,33.1,13.40,4.43,0.08,0.24,17.1,0.33,0.10,0.10,1.35,1.27,0.10,-0.18,-0.20
Newcastle Utd,29,31.0,1.66,13.2,4.07,30.7,13.24,4.07,0.12,0.38,15.8,0.28,0.10,0.14,1.64,1.53,0.12,0.02,0.02
Nott'ham Forest,23,31.0,1.61,12.4,4.32,34.8,12.42,4.32,0.12,0.35,17.6,0.39,0.10,0.10,1.23,1.16,0.10,0.38,0.36
Southampton,34,30.0,0.70,9.23,2.90,31.4,9.23,2.90,0.08,0.24,16.1,0.17,0.00,0.07,0.92,0.86,0.10,-0.22,-0.16
Tottenham,31,30.0,1.73,14.0,5.10,36.5,13.97,5.10,0.12,0.33,16.0,0.30,0.03,0.07,1.60,1.55,0.11,0.13,0.15
West Ham,27,31.0,1.06,12.6,3.48,27.6,12.65,3.48,0.08,0.28,16.5,0.42,0.10,0.10,1.25,1.17,0.10,-0.18,-0.20
Wolves,29,31.0,1.39,11.2,4.23,37.6,11.23,4.23,0.12,0.33,18.2,0.20,0.00,0.10,1.14,1.14,0.10,0.25,0.25
