Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,26,38.0,38.3,67.1,57.1,8163.3,2648.3,1.68,1.41,1.23,0.28,11.7,43.1,12.1,1.63,53.9
Aston Villa,26,38.0,35.4,67.9,52.2,6423.0,2304.8,0.92,1.02,0.83,-0.10,8.37,25.4,7.05,2.11,32.7
Bournemouth,31,38.0,31.4,65.6,47.9,5439.6,2175.6,0.63,0.75,0.69,-0.12,6.87,22.4,6.24,1.97,26.5
Brentford,25,38.0,37.8,77.6,48.8,5525.3,2289.5,0.95,1.01,0.80,-0.06,7.47,24.3,7.34,2.29,29.8
Brighton,29,38.0,38.5,64.8,59.4,8414.1,2801.9,1.21,1.37,1.18,-0.16,12.6,38.4,10.3,2.05,48.7
Chelsea,32,38.0,38.4,65.8,58.5,8327.4,2755.7,0.71,1.02,0.93,-0.31,9.89,37.5,9.74,1.79,45.7
Crystal Palace,26,38.0,34.4,72.4,47.6,6283.7,2326.0,0.76,0.76,0.63,0.00,8.32,26.7,6.29,1.34,32.7
Everton,28,38.0,35.9,77.6,46.4,5633.1,2170.5,0.63,0.85,0.71,-0.22,8.11,25.4,5.89,1.76,27.7
Fulham,29,38.0,40.8,75.3,54.2,6727.1,2350.1,0.87,0.75,0.62,0.12,8.05,27.5,7.47,2.55,34.9
Leeds United,29,38.0,28.2,66.5,42.4,5436.0,2218.3,0.82,0.84,0.72,-0.02,8.87,28.6,7.11,1.84,37.6
Leicester City,28,38.0,30.7,63.7,48.1,6558.4,2343.6,0.95,1.01,0.69,-0.06,8.39,30.1,5.79,1.37,34.3
Liverpool,28,38.0,51.6,86.4,59.8,9287.6,3170.2,1.53,1.46,1.38,0.06,12.1,42.5,11.9,2.24,52.8
Manchester City,24,38.0,50.8,75.0,67.8,10433.0,3024.2,1.82,1.51,1.52,0.30,12.2,46.6,11.7,1.97,54.6
Manchester Utd,26,38.0,37.8,69.8,54.2,7279.6,2553.3,1.11,1.37,1.17,-0.27,12.6,33.4,10.5,1.50,42.0
Newcastle Utd,27,38.0,40.1,73.0,54.9,6481.5,2391.9,1.11,1.36,1.18,-0.26,11.4,28.5,10.6,1.68,42.6
Nott'ham Forest,33,38.0,31.2,71.3,43.8,4666.2,1912.0,0.58,0.69,0.54,-0.11,6.47,17.4,4.53,1.32,22.6
Southampton,36,38.0,30.8,69.1,44.6,5569.4,2100.4,0.66,0.74,0.68,-0.08,7.95,24.7,6.29,1.87,29.6
Tottenham,29,38.0,39.4,70.2,56.2,7304.4,2439.3,1.21,1.13,0.89,0.08,10.2,28.2,8.50,2.74,38.1
West Ham,25,38.0,36.4,72.4,50.2,5763.5,2218.3,0.66,0.86,0.71,-0.20,8.95,26.1,5.58,2.11,33.5
Wolves,32,38.0,41.4,76.1,54.5,6949.2,2297.6,0.32,0.67,0.55,-0.35,7.74,29.2,6.63,1.87,35.3
